id,result_file,paper_title,authors,original_year,replication_year,journal,doi,domain,original_effect_size,original_sample_size,replication_effect_size,replication_sample_size,replication_variance,outcome,risk_of_bias_score,full_citation_apa7
86,result_086.md,Behavior priming: rude/polite words and interruption,"Bargh, Chen, & Burrows",1996,2014,JPSP,10.1037/0022-3514.71.2.230,Social priming,0.45,34,0.05,980,0.004082908163265306,failed_replication,5,"Bargh, Chen, & Burrows (1996). Behavior priming: rude/polite words and interruption. *JPSP*. https://doi.org/10.1037/0022-3514.71.2.230"
87,result_087.md,Affective forecasting bias and life events,Wilson & Gilbert,2003,2018,Advances in Exp. Soc. Psych.,10.1016/S0065-2601(03)01006-2,Emotion,0.5,1200,0.42,2400,0.0017034166666666667,successful_replication,1,Wilson & Gilbert (2003). Affective forecasting bias and life events. *Advances in Exp. Soc. Psych.*. https://doi.org/10.1016/S0065-2601(03)01006-2
88,result_088.md,Implicit egotism (name-letter effect in occupations),"Pelham, Mirenberg, & Jones",2002,2017,JPSP,10.1037/0022-3514.82.4.469,Implicit egotism,0.3,25000,0.05,50000,8.002500000000001e-05,failed_replication,2,"Pelham, Mirenberg, & Jones (2002). Implicit egotism (name-letter effect in occupations). *JPSP*. https://doi.org/10.1037/0022-3514.82.4.469"
89,result_089.md,Persuasion: source credibility and attitude change,"Petty, Cacioppo, & Goldman",1981,2017,JPSP,10.1037/0022-3514.41.5.847,Persuasion,0.4,145,0.36,600,0.006774666666666667,successful_replication,2,"Petty, Cacioppo, & Goldman (1981). Persuasion: source credibility and attitude change. *JPSP*. https://doi.org/10.1037/0022-3514.41.5.847"
90,result_090.md,Reciprocity in social exchanges,Regan,1971,2018,JESP,10.1016/0022-1031(71)90025-4,Cooperation,0.5,60,0.45,600,0.006835416666666667,successful_replication,1,Regan (1971). Reciprocity in social exchanges. *JESP*. https://doi.org/10.1016/0022-1031(71)90025-4
91,result_091.md,Embodied warmth (Many Labs 5 update of Williams & Bargh),Chabris et al.,2019,2019,Social Psychology,10.1027/1864-9335/a000387,Embodiment,0.1,800,0.04,2400,0.001667,failed_replication,1,Chabris et al. (2019). Embodied warmth (Many Labs 5 update of Williams & Bargh). *Social Psychology*. https://doi.org/10.1027/1864-9335/a000387
92,result_092.md,Memory reconsolidation in fear conditioning,Schiller et al.,2010,2018,Nature,10.1038/nature08637,Neuroscience,0.65,65,0.4,240,0.017,successful_replication,3,Schiller et al. (2010). Memory reconsolidation in fear conditioning. *Nature*. https://doi.org/10.1038/nature08637
93,result_093.md,Pluralistic ignorance in college drinking norms,Prentice & Miller,1993,2018,JPSP,10.1037/0022-3514.64.2.243,Norms,0.45,132,0.4,1100,0.0037090909090909093,successful_replication,1,Prentice & Miller (1993). Pluralistic ignorance in college drinking norms. *JPSP*. https://doi.org/10.1037/0022-3514.64.2.243
94,result_094.md,Construal level and prosocial behavior,Aguilar et al.,2013,2018,JESP,10.1016/j.jesp.2013.09.001,Social cognition,0.4,222,0.08,880,0.004549090909090909,failed_replication,2,Aguilar et al. (2013). Construal level and prosocial behavior. *JESP*. https://doi.org/10.1016/j.jesp.2013.09.001
95,result_095.md,Behavioral activation and depression symptom change,Dimidjian et al.,2006,2018,JCCP,10.1037/0022-006X.74.4.658,Clinical,0.65,241,0.55,1100,0.0037738636363636364,successful_replication,2,Dimidjian et al. (2006). Behavioral activation and depression symptom change. *JCCP*. https://doi.org/10.1037/0022-006X.74.4.658
96,result_096.md,CBT for generalized anxiety disorder (meta-analytic update),Hofmann et al.,2012,2019,Cognitive Therapy and Research,10.1007/s10608-012-9476-1,Clinical,0.8,269,0.7,1500,0.00283,successful_replication,1,Hofmann et al. (2012). CBT for generalized anxiety disorder (meta-analytic update). *Cognitive Therapy and Research*. https://doi.org/10.1007/s10608-012-9476-1
97,result_097.md,Mindfulness-based stress reduction and well-being,Goyal et al.,2014,2018,JAMA IM,10.1001/jamainternmed.2013.13018,Clinical,0.45,3515,0.42,5000,0.00081764,successful_replication,1,Goyal et al. (2014). Mindfulness-based stress reduction and well-being. *JAMA IM*. https://doi.org/10.1001/jamainternmed.2013.13018
98,result_098.md,Implicit racial bias and police shoot/don't-shoot decisions,Correll et al.,2002,2018,JPSP,10.1037/0022-3514.83.6.1314,Implicit cognition,0.4,88,0.3,1200,0.0033708333333333338,successful_replication,2,Correll et al. (2002). Implicit racial bias and police shoot/don't-shoot decisions. *JPSP*. https://doi.org/10.1037/0022-3514.83.6.1314
99,result_099.md,Mood congruency in autobiographical memory,Bower,1981,2018,American Psychologist,10.1037/0003-066X.36.2.129,Memory,0.42,240,0.36,900,0.0045164444444444445,successful_replication,1,Bower (1981). Mood congruency in autobiographical memory. *American Psychologist*. https://doi.org/10.1037/0003-066X.36.2.129
100,result_100.md,Self-esteem and life outcomes (large-cohort follow-up),"Orth, Robins, & Widaman",2012,2019,JPSP,10.1037/a0025558,Personality,0.2,2493,0.18,9000,0.00044624444444444446,successful_replication,1,"Orth, Robins, & Widaman (2012). Self-esteem and life outcomes (large-cohort follow-up). *JPSP*. https://doi.org/10.1037/a0025558"
